Task,Model,Fold,C-index,IBS,AUC_mean,AUC_t=673.2,AUC_t=1517.5,AUC_t=2406.0,AUC_t=446.8,AUC_t=1330.0,AUC_t=2215.0,AUC_t=501.5,AUC_t=1345.0,AUC_t=2068.5,AUC_t=563.0,AUC_t=1399.0,AUC_t=2304.0,AUC_t=515.5,AUC_t=1339.5,AUC_t=2156.0,AUC_t=563.5,AUC_t=1321.0,AUC_t=2208.8,AUC_t=521.8,AUC_t=1448.0,AUC_t=2178.2,AUC_t=476.5,AUC_t=1325.0,AUC_t=2277.0,AUC_t=568.5,AUC_t=1352.0,AUC_t=2330.5,AUC_t=576.2,AUC_t=1418.5,AUC_t=2218.2,AUC_t=508.0,AUC_t=1276.0,AUC_t=2221.0,AUC_t=495.0,AUC_t=1273.0,AUC_t=2152.0,AUC_t=440.5,AUC_t=1344.5,AUC_t=2069.8,AUC_t=451.8,AUC_t=1220.0,AUC_t=2000.5,AUC_t=473.0,AUC_t=1367.0,AUC_t=2166.0,AUC_t=457.5,AUC_t=1400.0,AUC_t=2357.0,AUC_t=361.0,AUC_t=1227.0,AUC_t=2029.5,AUC_t=370.0,AUC_t=1130.0,AUC_t=2030.8,AUC_t=453.2,AUC_t=1346.5,AUC_t=2161.5,AUC_t=454.0,AUC_t=1366.5,AUC_t=2276.0
Total Mortality,Kaplan-Meier,1,0.5,0.11978190111492173,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,Multivariate Cox,1,0.7839802318387428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,DeepSurv,1,5.555082344837292e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,TorchSurv (Custom),1,0.7696542424118935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,RSF,1,0.7842358546136207,0.09609015516668686,0.8167862807620518,0.8125654168757888,0.8224535537044744,0.8154973693079998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,GBSA,1,0.7867994917181925,0.09711163975150926,0.8138237882913593,0.8006579994402873,0.8176897485295578,0.8205455283138215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,Embedding Cox,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,Kaplan-Meier,2,0.5,0.11820306581400795,0.5,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,Multivariate Cox,2,0.8011844152170838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,DeepSurv,2,6.361952695347292e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,TorchSurv (Custom),2,0.7890326686465846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,RSF,2,0.8037865931268562,0.0932043032315681,0.8388879846048343,,,,0.8371960396929475,0.8416928302436677,0.8379091261374777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,GBSA,2,0.7974685334464715,0.09096403443413695,0.8329489375570934,,,,0.8364028568207882,0.8338271887374886,0.8294043221444347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,Embedding Cox,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,Kaplan-Meier,3,0.5,0.11631466129687236,0.5,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,Multivariate Cox,3,0.7985888300416508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,DeepSurv,3,0.7773426456267474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,TorchSurv (Custom),3,0.7929155218221619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,RSF,3,0.7934112816788803,0.09499946592434928,0.8296894551483476,,,,,,,0.8381564693234924,0.8283557577719991,0.8238285925992559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,GBSA,3,0.7951045459782354,0.09230827924241551,0.8317636433734117,,,,,,,0.8404381618610477,0.8276827812279572,0.8280965954499873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,Embedding Cox,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,Kaplan-Meier,4,0.5,0.11871765917199494,0.5,,,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,Multivariate Cox,4,0.7882614053058983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,DeepSurv,4,0.7560186095518645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,TorchSurv (Custom),4,0.7811725233450615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,RSF,4,0.7827164892590448,0.09675459320410303,0.812593334682098,,,,,,,,,,0.8188694579020294,0.8028477224751569,0.815763369615383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,GBSA,4,0.7798104188007542,0.09657446282462001,0.8044732647325892,,,,,,,,,,0.8044322726064315,0.7986456094556003,0.8093114541247933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,Embedding Cox,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,Kaplan-Meier,5,0.5,0.11754878904428524,0.5,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,Multivariate Cox,5,0.7883985291592743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mortality,DeepSurv,5,9.296671076626024e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
