dataset,n_bins_requested,n_bins_actual,total_events,min_events_per_bin,median_events_per_bin,bins_lt5_events,empty_bins,valid_samples_last_bin,valid_samples_drop_pct
FLCHAIN,10,10,1962,194,196.0,0,0,2057,68.3
FLCHAIN,20,20,1962,96,98.0,0,0,2057,68.3
FLCHAIN,30,30,1962,63,65.0,0,0,2057,68.4
FLCHAIN,50,50,1962,37,39.0,0,0,2057,68.4
FLCHAIN,100,100,1962,17,20.0,0,0,2057,68.4
FLCHAIN,300,300,1962,4,7.0,5,0,2057,68.5
FLCHAIN,500,500,1962,1,4.0,440,0,2057,68.5
FLCHAIN,1000,995,1962,0,2.0,992,29,2057,68.5
FRAMINGHAM,10,10,1783,177,178.0,0,0,4273,0.0
FRAMINGHAM,20,20,1783,88,89.0,0,0,4273,0.0
FRAMINGHAM,30,30,1783,58,59.0,0,0,4273,0.0
FRAMINGHAM,50,50,1783,34,36.0,0,0,4273,0.0
FRAMINGHAM,100,100,1783,16,18.0,0,0,4273,0.0
FRAMINGHAM,300,300,1783,4,6.0,1,0,4273,0.0
FRAMINGHAM,500,500,1783,2,4.0,476,0,4273,0.0
FRAMINGHAM,1000,999,1783,0,2.0,999,19,4273,0.0
GBSG,10,10,1267,125,126.0,0,0,1704,22.8
GBSG,20,20,1267,61,63.5,0,0,1704,23.0
GBSG,30,30,1267,40,42.0,0,0,1704,23.1
GBSG,50,50,1267,21,25.0,0,0,1704,23.2
GBSG,100,100,1267,8,13.0,0,0,1704,23.2
GBSG,300,300,1267,0,4.0,200,1,1704,23.2
GBSG,500,494,1267,0,3.0,480,11,1704,23.3
GBSG,1000,948,1267,0,1.0,943,163,1704,23.3
METABRIC,10,10,1103,110,110.0,0,0,1103,41.3
METABRIC,20,20,1103,54,55.0,0,0,1103,41.5
METABRIC,30,30,1103,35,37.0,0,0,1103,41.5
METABRIC,50,50,1103,21,22.0,0,0,1103,41.6
METABRIC,100,100,1103,10,11.0,0,0,1103,41.6
METABRIC,300,300,1103,2,4.0,288,0,1103,41.7
METABRIC,500,500,1103,0,2.0,500,2,1103,41.8
METABRIC,1000,993,1103,0,1.0,993,72,1103,41.9
ORMONI_TIRODEI_CV,10,10,2407,239,241.0,0,0,2413,69.5
ORMONI_TIRODEI_CV,20,20,2407,119,120.0,0,0,2413,69.6
ORMONI_TIRODEI_CV,30,30,2407,77,80.0,0,0,2413,69.6
ORMONI_TIRODEI_CV,50,50,2407,42,48.0,0,0,2413,69.7
ORMONI_TIRODEI_CV,100,100,2407,18,24.0,0,0,2413,69.9
ORMONI_TIRODEI_CV,300,300,2407,3,8.0,2,0,2413,70.1
ORMONI_TIRODEI_CV,500,495,2407,0,5.0,154,3,2413,70.1
ORMONI_TIRODEI_CV,1000,966,2407,0,2.0,934,36,2413,70.1
ORMONI_TIRODEI_MI,10,10,2619,260,262.0,0,0,2623,66.9
ORMONI_TIRODEI_MI,20,20,2619,129,131.0,0,0,2623,66.9
ORMONI_TIRODEI_MI,30,30,2619,83,87.0,0,0,2623,67.0
ORMONI_TIRODEI_MI,50,50,2619,48,52.0,0,0,2623,67.1
