feature,score_type,score,abs_score,flagged
LAB_lactate_mean,point_biserial_r,0.4395495463087158,0.4395495463087158,False
LAB_lactate_max,point_biserial_r,0.42897510531136895,0.42897510531136895,False
LAB_lactate_min,point_biserial_r,0.4163848636934625,0.4163848636934625,False
VITAL_sao2_std,point_biserial_r,0.2803514774629684,0.2803514774629684,False
VITAL_sao2_min,point_biserial_r,-0.27242956084896186,0.27242956084896186,False
LAB_lactate_std,point_biserial_r,0.26877816283377354,0.26877816283377354,False
APACHE_motor_1,cramers_v,0.26077263501472026,0.26077263501472026,False
APACHE_eyes_1,cramers_v,0.2607016346537507,0.2607016346537507,False
APACHE_motor_6,cramers_v,0.23526980212039883,0.23526980212039883,False
APACHE_fio2,point_biserial_r,0.22653803752998336,0.22653803752998336,False
APACHE_verbal_1,cramers_v,0.22586945411086698,0.22586945411086698,False
LAB_phosphate_max,point_biserial_r,0.22445405322401316,0.22445405322401316,False
APACHE_vent,cramers_v,0.21060290499782575,0.21060290499782575,False
LAB_phosphate_mean,point_biserial_r,0.20341667429798177,0.20341667429798177,False
VITAL_heartrate_std,point_biserial_r,0.1976666367973165,0.1976666367973165,False
APACHE_verbal_5,cramers_v,0.19396140240370907,0.19396140240370907,False
APACHE_eyes_4,cramers_v,0.19322291985036916,0.19322291985036916,False
VITAL_sao2_mean,point_biserial_r,-0.19065431579543837,0.19065431579543837,False
LAB_PT__INR_max,point_biserial_r,0.18547752797926653,0.18547752797926653,False
APACHE_intubated,cramers_v,0.17870664641735143,0.17870664641735143,False
LAB_PT__INR_mean,point_biserial_r,0.17565197331251747,0.17565197331251747,False
APACHE_ph,point_biserial_r,0.17130727704949122,0.17130727704949122,False
LAB_phosphate_min,point_biserial_r,0.16910100094750874,0.16910100094750874,False
LAB_phosphate_std,point_biserial_r,0.16330342408537524,0.16330342408537524,False
APACHE_pco2,point_biserial_r,0.15693209678107395,0.15693209678107395,False
LAB_PT__INR_min,point_biserial_r,0.15476005130584308,0.15476005130584308,False
VITAL_cvp_std,point_biserial_r,0.14428429714162475,0.14428429714162475,False
VITAL_cvp_mean,point_biserial_r,0.1422729265509068,0.1422729265509068,False
APACHE_pao2,point_biserial_r,0.14155206046589863,0.14155206046589863,False
VITAL_heartrate_max,point_biserial_r,0.14008999821748408,0.14008999821748408,False
LAB_PT__INR_std,point_biserial_r,0.13827781348773027,0.13827781348773027,False
VITAL_heartrate_mean,point_biserial_r,0.1308819669031026,0.1308819669031026,False
LAB_potassium_max,point_biserial_r,0.12887635573792305,0.12887635573792305,False
VITAL_respiration_mean,point_biserial_r,0.12614718072676,0.12614718072676,False
APACHE_bun,point_biserial_r,0.12596470354319228,0.12596470354319228,False
VITAL_cvp_max,point_biserial_r,0.11610681925417442,0.11610681925417442,False
VITAL_heartrate_min,point_biserial_r,-0.11479651466759988,0.11479651466759988,False
APACHE_bilirubin,point_biserial_r,0.11427154590210586,0.11427154590210586,False
VITAL_respiration_std,point_biserial_r,0.10540370367670149,0.10540370367670149,False
APACHE_wbc,point_biserial_r,0.0989718318435828,0.0989718318435828,False
LAB_potassium_std,point_biserial_r,0.09542977068662736,0.09542977068662736,False
APACHE_heartrate,point_biserial_r,0.0928257134169658,0.0928257134169658,False
LAB_potassium_mean,point_biserial_r,0.0885502838103826,0.0885502838103826,False
TREAT_mechanical_vent,cramers_v,0.08535395097719695,0.08535395097719695,False
APACHE_creatinine,point_biserial_r,0.08326486647886545,0.08326486647886545,False
APACHE_respiratoryrate,point_biserial_r,0.07849001806819136,0.07849001806819136,False
age,point_biserial_r,0.07826353679438636,0.07826353679438636,False
VITAL_respiration_max,point_biserial_r,0.07051994915415438,0.07051994915415438,False
TREAT_surgery,cramers_v,0.06855024015672555,0.06855024015672555,False
APACHE_glucose,point_biserial_r,0.0631664492855519,0.0631664492855519,False
ICD10_chap_XIX,cramers_v,0.06257380180772684,0.06257380180772684,False
APACHE_motor_4,cramers_v,0.06229111154985302,0.06229111154985302,False
VITAL_cvp_min,point_biserial_r,0.058800379594373675,0.058800379594373675,False
APACHE_motor_2,cramers_v,0.056510144786638836,0.056510144786638836,False
LAB_magnesium_max,point_biserial_r,0.056346568525418854,0.056346568525418854,False
APACHE_eyes_2,cramers_v,0.05491888450741903,0.05491888450741903,False
APACHE_urine,point_biserial_r,-0.054025760909515046,0.054025760909515046,False
ICD10_chap_XI,cramers_v,0.05312809518904902,0.05312809518904902,False
APACHE_meds,cramers_v,0.0503291919913238,0.0503291919913238,False
TREAT_toxicology,cramers_v,0.04994727830499212,0.04994727830499212,False
APACHE_motor_3,cramers_v,0.04916131628496187,0.04916131628496187,False
APACHE_albumin,point_biserial_r,0.0447866583723607,0.0447866583723607,False
VITAL_respiration_min,point_biserial_r,-0.04474619071361007,0.04474619071361007,False
APACHE_temperature,point_biserial_r,-0.042327075617514164,0.042327075617514164,False
LAB_magnesium_mean,point_biserial_r,0.042053141770244606,0.042053141770244606,False
VITAL_sao2_max,point_biserial_r,-0.041181827803161195,0.041181827803161195,False
APACHE_meanbp,point_biserial_r,-0.03755802292768343,0.03755802292768343,False
APACHE_motor_5,cramers_v,0.0371355774933155,0.0371355774933155,False
LAB_potassium_min,point_biserial_r,0.03452645854227687,0.03452645854227687,False
ICD10_chap_X,cramers_v,0.03173072078265676,0.03173072078265676,False
VITAL_temperature_mean,point_biserial_r,-0.028186321221492328,0.028186321221492328,False
VITAL_temperature_std,point_biserial_r,0.02755688242493219,0.02755688242493219,False
TREAT_dialysis,cramers_v,0.025166873333092945,0.025166873333092945,False
APACHE_sodium,point_biserial_r,0.02515527813070987,0.02515527813070987,False
ICD10_chap_V,cramers_v,0.024773070964133614,0.024773070964133614,False
APACHE_verbal_2,cramers_v,0.022892230860891687,0.022892230860891687,False
TREAT_enteral_nutrition,cramers_v,0.019168607429273767,0.019168607429273767,False
LAB_magnesium_min,point_biserial_r,0.01856568068562897,0.01856568068562897,False
APACHE_dialysis,cramers_v,0.017968340805981968,0.017968340805981968,False
ICD10_chap_XVIII,cramers_v,0.016883763338267698,0.016883763338267698,False
ICD10_chap_XV,cramers_v,0.011742925818367621,0.011742925818367621,False
APACHE_verbal_3,cramers_v,0.011706378389942838,0.011706378389942838,False
VITAL_temperature_max,point_biserial_r,-0.011605010611353354,0.011605010611353354,False
LAB_magnesium_std,point_biserial_r,0.00940864135269159,0.00940864135269159,False
ICD10_chap_XIII,cramers_v,0.008965114965172879,0.008965114965172879,False
VITAL_temperature_min,point_biserial_r,-0.008889614524990602,0.008889614524990602,False
eth_caucasian,cramers_v,0.007906634566267133,0.007906634566267133,False
APACHE_verbal_4,cramers_v,0.00725534896289217,0.00725534896289217,False
eth_african_american,cramers_v,0.007252341746092584,0.007252341746092584,False
