feature_a,feature_b,pearson_r,abs_r
LAB_Alb_max,LAB_Alb_mean,0.9999999999600205,0.9999999999600205
LAB_Alb_mean,LAB_Alb_min,0.9999999999565233,0.9999999999565233
LAB_Alb_max,LAB_Alb_min,0.9999999998362727,0.9999999998362727
LAB_Alb_max,LAB_Bili_std,0.9999999933796845,0.9999999933796845
LAB_Alb_mean,LAB_Bili_std,0.9999999932244449,0.9999999932244449
LAB_Alb_min,LAB_Bili_std,0.9999999929292622,0.9999999929292622
LAB_Bili_max,LAB_Bili_std,0.9999999428911215,0.9999999428911215
VITAL_SpO2_max,VITAL_SpO2_std,0.9999999364379812,0.9999999364379812
LAB_Alb_max,LAB_Bili_max,0.9999999031904773,0.9999999031904773
LAB_Alb_mean,LAB_Bili_max,0.9999999026412797,0.9999999026412797
LAB_Alb_min,LAB_Bili_max,0.9999999020046149,0.9999999020046149
LAB_PaCO2_min,LAB_pH_min,0.9999997446436207,0.9999997446436207
LAB_Bili_mean,LAB_Bili_std,0.9999994673912114,0.9999994673912114
VITAL_SpO2_max,VITAL_SpO2_mean,0.9999988076495911,0.9999988076495911
VITAL_SpO2_mean,VITAL_SpO2_std,0.9999986674212226,0.9999986674212226
VITAL_RR_max,VITAL_RR_std,0.9999953703002669,0.9999953703002669
LAB_PaCO2_std,LAB_PaO2_std,0.9999912801083158,0.9999912801083158
VITAL_RR_mean,VITAL_RR_std,0.9999894802432409,0.9999894802432409
LAB_PaO2_min,LAB_pH_min,0.9999890181514123,0.9999890181514123
LAB_PaCO2_min,LAB_PaO2_min,0.9999886555380646,0.9999886555380646
LAB_PaCO2_max,LAB_PaO2_max,0.9999865669749114,0.9999865669749114
LAB_PaCO2_mean,LAB_PaO2_mean,0.999982970254021,0.999982970254021
VITAL_MAP_max,VITAL_MAP_std,0.9999812265621753,0.9999812265621753
VITAL_RR_max,VITAL_RR_mean,0.9999754139624552,0.9999754139624552
VITAL_MAP_mean,VITAL_MAP_std,0.999926515798445,0.999926515798445
VITAL_MAP_max,VITAL_MAP_mean,0.9998534652879386,0.9998534652879386
VITAL_SBP_max,VITAL_SBP_std,0.997469137111789,0.997469137111789
LAB_Cr_max,LAB_Cr_std,0.9920203333901887,0.9920203333901887
LAB_Cr_mean,LAB_Cr_std,0.9911739442180751,0.9911739442180751
LAB_BUN_max,LAB_BUN_std,0.9910858397237595,0.9910858397237595
LAB_HCO3_mean,LAB_HCO3_std,0.9903790252414973,0.9903790252414973
LAB_HCO3_max,LAB_HCO3_std,0.9903165099952019,0.9903165099952019
LAB_BUN_mean,LAB_BUN_std,0.9900368556624768,0.9900368556624768
LAB_Na_mean,LAB_Na_std,0.9889327705164166,0.9889327705164166
LAB_PaCO2_mean,LAB_pH_mean,0.9886730425320154,0.9886730425320154
LAB_PaO2_mean,LAB_pH_mean,0.9886643624253513,0.9886643624253513
LAB_Na_max,LAB_Na_std,0.9882866762409981,0.9882866762409981
LAB_Gluc_mean,LAB_Gluc_std,0.9869183157380159,0.9869183157380159
LAB_Gluc_max,LAB_Gluc_std,0.9853917694196641,0.9853917694196641
LAB_WBC_mean,LAB_WBC_std,0.9838357043911431,0.9838357043911431
LAB_WBC_max,LAB_WBC_std,0.9802638337271926,0.9802638337271926
VITAL_DBP_max,VITAL_DBP_std,0.9791557473769074,0.9791557473769074
VITAL_SBP_mean,VITAL_SBP_std,0.9740614826868529,0.9740614826868529
LAB_pH_mean,LAB_pH_std,0.9692696658675284,0.9692696658675284
LAB_PaCO2_mean,LAB_PaCO2_std,0.9690783442589266,0.9690783442589266
LAB_PaCO2_mean,LAB_PaO2_std,0.9690766336980594,0.9690766336980594
LAB_PaO2_mean,LAB_PaO2_std,0.9690529773667271,0.9690529773667271
LAB_PaCO2_std,LAB_PaO2_mean,0.969018205942755,0.969018205942755
LAB_Lactate_mean,LAB_Lactate_std,0.9687830486731799,0.9687830486731799
LAB_pH_max,LAB_pH_std,0.9677037876349494,0.9677037876349494
LAB_Hgb_max,LAB_Hgb_std,0.9676210260327592,0.9676210260327592
LAB_PaCO2_max,LAB_PaCO2_std,0.9673547455256611,0.9673547455256611
LAB_PaO2_max,LAB_PaO2_std,0.9673456949328428,0.9673456949328428
LAB_PaCO2_std,LAB_PaO2_max,0.9673427209839897,0.9673427209839897
LAB_PaCO2_max,LAB_PaO2_std,0.9673386532014129,0.9673386532014129
VITAL_DBP_mean,VITAL_DBP_min,0.9669281448105546,0.9669281448105546
LAB_Cr_max,LAB_Cr_mean,0.9666549361550345,0.9666549361550345
LAB_BUN_max,LAB_BUN_mean,0.9626578447682697,0.9626578447682697
VITAL_SBP_max,VITAL_SBP_mean,0.9620715871388871,0.9620715871388871
LAB_Lactate_max,LAB_Lactate_std,0.9613781472748296,0.9613781472748296
LAB_Hgb_mean,LAB_Hgb_std,0.9573300908385612,0.9573300908385612
LAB_Na_max,LAB_Na_mean,0.954777989778036,0.954777989778036
