feature,score_type,score,abs_score,flagged
Age,point_biserial_r,0.3509229626481468,0.3509229626481468,False
fe,point_biserial_r,-0.2650190427637278,0.2650190427637278,False
Diuretics,cramers_v,0.25462637474712246,0.25462637474712246,False
WmsiBas,point_biserial_r,0.22312177199660305,0.22312177199660305,False
Creatinina,point_biserial_r,0.19738499051517322,0.19738499051517322,False
EPA,cramers_v,0.193270520366664,0.193270520366664,False
Euthyroid,cramers_v,0.186972303509277,0.186972303509277,False
Ipolipemizzanti,cramers_v,0.18122458126829913,0.18122458126829913,False
vsx,point_biserial_r,0.17930088065036703,0.17930088065036703,False
Low T3,cramers_v,0.16258087266907542,0.16258087266907542,False
"Dyslipidemia
Hystory of dyslipidemia",cramers_v,0.15743274248327535,0.15743274248327535,False
Aritmie,cramers_v,0.14334460150390657,0.14334460150390657,False
"Post-ischemic Dilated
Cardiomyopathy",cramers_v,0.14194384061962528,0.14194384061962528,False
Atrial Fibrillation,cramers_v,0.13417335087972107,0.13417335087972107,False
HR,point_biserial_r,0.12926989581748463,0.12926989581748463,False
Valvulopatie,cramers_v,0.1210164462205455,0.1210164462205455,False
Angiography,cramers_v,0.11912894866124123,0.11912894866124123,False
DimPP,point_biserial_r,0.11768554559009031,0.11768554559009031,False
Amiodarone,cramers_v,0.11745623567250507,0.11745623567250507,False
Glycemia,point_biserial_r,0.11174724772028612,0.11174724772028612,False
PMI,cramers_v,0.10906610930991173,0.10906610930991173,False
Previous CABG,cramers_v,0.10802459887067581,0.10802459887067581,False
Vessels,cramers_v,0.10766956679771955,0.10766956679771955,False
"Diabetes
History of diabetes",cramers_v,0.10762229103169417,0.10762229103169417,False
Previous Myocardial Infarction,cramers_v,0.10687312695432981,0.10687312695432981,False
Total cholesterol,point_biserial_r,-0.10676918880237585,0.10676918880237585,False
Weight,point_biserial_r,-0.10529282587881408,0.10529282587881408,False
LDL,point_biserial_r,-0.10348681231924588,0.10348681231924588,False
Diastolic blood pressure,point_biserial_r,-0.09958176197217117,0.09958176197217117,False
fT4,point_biserial_r,0.09934670424595686,0.09934670424595686,False
DimSettoIV,point_biserial_r,0.0937862347862757,0.0937862347862757,False
BMI,point_biserial_r,-0.07558231357001116,0.07558231357001116,False
"Documented resting 
or exertional ischemia",cramers_v,0.07314005453787188,0.07314005453787188,False
Height,point_biserial_r,-0.07172245288087951,0.07172245288087951,False
Angina,cramers_v,0.07108077258500656,0.07108077258500656,False
Antidiabetici,cramers_v,0.0700804397339885,0.0700804397339885,False
Subclinical primary hypothyroidism (SCH),cramers_v,0.06606360833535702,0.06606360833535702,False
fT3,point_biserial_r,-0.0632764029544475,0.0632764029544475,False
B-Blockers,cramers_v,0.05541119245989799,0.05541119245989799,False
Nitrates,cramers_v,0.05408044299286194,0.05408044299286194,False
"Primary Dilated
Cardiomyopathy",cramers_v,0.05149587275928382,0.05149587275928382,False
TSH,point_biserial_r,0.04950535911488384,0.04950535911488384,False
MalattiaVasoAorta,cramers_v,0.04756827767005699,0.04756827767005699,False
CAD,cramers_v,0.04296870131592588,0.04296870131592588,False
Calcium channel blockers,cramers_v,0.041099202907843205,0.041099202907843205,False
Ipertensione,cramers_v,0.040812230575784376,0.040812230575784376,False
Triglycerides,point_biserial_r,-0.039841490741337006,0.039841490741337006,False
HDL,point_biserial_r,-0.03877799495036531,0.03877799495036531,False
"Smoke
History of smoke",cramers_v,0.03566261421848077,0.03566261421848077,False
Antiplatelet,cramers_v,0.034203817391265136,0.034203817391265136,False
Ipotiroidismo,cramers_v,0.03208603794940308,0.03208603794940308,False
Ipertiroidismo,cramers_v,0.03185474635239073,0.03185474635239073,False
Systolic blood pressure,point_biserial_r,-0.02778205078759037,0.02778205078759037,False
Normal,cramers_v,0.02755228806259153,0.02755228806259153,False
SindromeX,cramers_v,0.02610575335128855,0.02610575335128855,False
Miocardite,cramers_v,0.024827714724895766,0.024827714724895766,False
EmboliaPolmonare,cramers_v,0.02026952180248486,0.02026952180248486,False
Pericardite,cramers_v,0.019029088939245185,0.019029088939245185,False
Endocardite,cramers_v,0.018609740070850592,0.018609740070850592,False
AMI,cramers_v,0.017444006560660624,0.017444006560660624,False
MIN,cramers_v,0.012920250232462169,0.012920250232462169,False
MIO,cramers_v,0.010993343262383411,0.010993343262383411,False
Gender (Male = 1),cramers_v,0.005505148721603379,0.005505148721603379,False
"Hypertension
History of hypertension",cramers_v,0.004917414443411671,0.004917414443411671,False
Previous PCI,cramers_v,0.004686185811441316,0.004686185811441316,False
ACE-inhibitors,cramers_v,0.003958104737843376,0.003958104737843376,False
"Subclinical primary hyperthyroidism
(SCT)",cramers_v,0.00011702057681371025,0.00011702057681371025,False
