feature,var_event1,var_event0,min_var,flagged,note
SindromeX,0.00041545492314083927,0.0031717758439276334,0.00041545492314083927,True,near-zero variance in event=1 stratum → possible complete separation
Miocardite,0.0016597475981836019,0.005100116829576345,0.0016597475981836019,False,
Endocardite,0.003726661741989024,0.001764597120419944,0.001764597120419944,False,
EmboliaPolmonare,0.004962666039512769,0.0024686863680435972,0.0024686863680435972,False,
MIO,0.0029009321316567334,0.004399776725976251,0.0029009321316567334,False,
MIN,0.009468089919226305,0.007020897041444225,0.007020897041444225,False,
Pericardite,0.008243482140791215,0.012565631109347348,0.008243482140791215,False,
Normal,0.011502195902018945,0.01906689678912683,0.011502195902018945,False,
Ipotiroidismo,0.021543219917247454,0.013082169427192654,0.013082169427192654,False,
Ipertiroidismo,0.024710761525765984,0.015656425442366194,0.015656425442366194,False,
EPA,0.09833918181972018,0.02025465685865596,0.02025465685865596,False,
"Subclinical primary hyperthyroidism
(SCT)",0.029030042260364874,0.028982164259622478,0.028982164259622478,False,
MalattiaVasoAorta,0.055903724969531575,0.036561808732043864,0.036561808732043864,False,
Amiodarone,0.08813653444287083,0.03705154067012076,0.03705154067012076,False,
Subclinical primary hypothyroidism (SCH),0.0769109631405491,0.04720600352931922,0.04720600352931922,False,
Previous CABG,0.11132327055232712,0.058816727655867075,0.058816727655867075,False,
"Primary Dilated
Cardiomyopathy",0.0884708323361379,0.06342630023282807,0.06342630023282807,False,
"Post-ischemic Dilated
Cardiomyopathy",0.14220127565037,0.07068464306243082,0.07068464306243082,False,
AMI,0.08713156866868972,0.0782388870840926,0.0782388870840926,False,
Calcium channel blockers,0.09769096162792024,0.12040600980288686,0.09769096162792024,False,
Previous PCI,0.11039290017581717,0.1129184693019775,0.11039290017581717,False,
Valvulopatie,0.17431597574406318,0.1120005851164106,0.1120005851164106,False,
Low T3,0.1944929947669256,0.11357222629108493,0.11357222629108493,False,
Antidiabetici,0.16170486399981213,0.12482265767696914,0.12482265767696914,False,
Atrial Fibrillation,0.21040253541468304,0.1476894369054365,0.1476894369054365,False,
WmsiBas,0.2908745759890538,0.16185799496215023,0.16185799496215023,False,
"Diabetes
History of diabetes",0.2113898883866362,0.16228372984592956,0.16228372984592956,False,
Previous Myocardial Infarction,0.21884113977623454,0.17264074021100057,0.17264074021100057,False,
Euthyroid,0.24454029032114352,0.1819792331163391,0.1819792331163391,False,
PMI,0.22889079751804536,0.18624497794347328,0.18624497794347328,False,
Diuretics,0.24711797572955851,0.2044526021652681,0.2044526021652681,False,
Ipolipemizzanti,0.20940274987645138,0.250016074455001,0.20940274987645138,False,
"Dyslipidemia
Hystory of dyslipidemia",0.24887096757483107,0.21036172178939397,0.21036172178939397,False,
Aritmie,0.24846241963295615,0.2138046857176921,0.2138046857176921,False,
Gender (Male = 1),0.22363769291630364,0.22540781782759223,0.22363769291630364,False,
"Documented resting 
or exertional ischemia",0.2241757467569133,0.24317198079713423,0.2241757467569133,False,
Angiography,0.25006760207913953,0.23214049942222564,0.23214049942222564,False,
Creatinina,0.5043652541199279,0.23260022498613292,0.23260022498613292,False,
"Smoke
History of smoke",0.23482113163290363,0.24275557586758484,0.23482113163290363,False,
Nitrates,0.24669526847608853,0.23651715642672327,0.23651715642672327,False,
Antiplatelet,0.2441621330968383,0.23712686097355387,0.23712686097355387,False,
ACE-inhibitors,0.23874326094471618,0.2395703031051723,0.23874326094471618,False,
"Hypertension
History of hypertension",0.24060849123555886,0.2394978196540502,0.2394978196540502,False,
CAD,0.24490601497917025,0.24940530765069702,0.24490601497917025,False,
Angina,0.2470723896532039,0.24953230990449496,0.2470723896532039,False,
B-Blockers,0.2476791679574088,0.24991622225250698,0.2476791679574088,False,
Ipertensione,0.2501038637307852,0.24804436837014654,0.24804436837014654,False,
Vessels,1.4157164387190178,1.1114699015905931,1.1114699015905931,False,
DimPP,5.446128481593413,3.1293087896869545,3.1293087896869545,False,
fT3,3.2249334517880626,3.543289833230575,3.2249334517880626,False,
DimSettoIV,4.10253897177842,3.417073495657523,3.417073495657523,False,
TSH,19.19327142212327,11.563489663928605,11.563489663928605,False,
fT4,20.167094959388677,18.244548101927105,18.244548101927105,False,
BMI,18.7166364818421,19.08251343438094,18.7166364818421,False,
vsx,76.64931322158529,46.79626623371552,46.79626623371552,False,
Height,68.66381719154543,77.72049134656943,68.66381719154543,False,
Age,106.41947730175464,167.42985464761315,106.41947730175464,False,
fe,191.15080150337354,115.18277711345031,115.18277711345031,False,
Diastolic blood pressure,160.3501760071501,151.74800931387352,151.74800931387352,False,
HDL,156.97026440960332,152.99185554698045,152.99185554698045,False,
Weight,196.70561271658136,208.44220816334868,196.70561271658136,False,
HR,431.7838187387092,358.7998577574757,358.7998577574757,False,
Systolic blood pressure,666.4104349291568,503.99038885059554,503.99038885059554,False,
LDL,1087.8209730071717,1369.7661952005583,1087.8209730071717,False,
Glycemia,2222.129452024281,1328.955085223355,1328.955085223355,False,
Total cholesterol,1882.5900143699748,1856.4285566551587,1856.4285566551587,False,
Triglycerides,5552.845857935138,5928.439231218023,5552.845857935138,False,
