feature,score_type,score,abs_score,flagged
Karnofsky_score,point_biserial_r,-0.16508678676624167,0.16508678676624167,False
Celltype_squamous,cramers_v,0.11489353012620643,0.11489353012620643,False
Age_in_years,point_biserial_r,0.07225834514221421,0.07225834514221421,False
Celltype_large,cramers_v,0.05730617227855655,0.05730617227855655,False
Celltype_adeno,cramers_v,0.05730617227855655,0.05730617227855655,False
Months_from_Diagnosis,point_biserial_r,0.05005559391808631,0.05005559391808631,False
Treatment_test,cramers_v,0.027528004633844496,0.027528004633844496,False
Treatment_standard,cramers_v,0.027528004633844493,0.027528004633844493,False
Prior_therapy_yes,cramers_v,0.024122819863032788,0.024122819863032788,False
Prior_therapy_no,cramers_v,0.024122819863032788,0.024122819863032788,False
Celltype_smallcell,cramers_v,0.009466238302673142,0.009466238302673142,False
