dataset,feature,flag_type,score_type,score,note
EICU_SURV,VITAL_temperature_max ↔ VITAL_temperature_mean,collinearity,pearson_r,0.9820244285961045,|r|=0.982 ≥ 0.95
EICU_SURV,LAB_troponin__I_max ↔ LAB_troponin__I_mean,collinearity,pearson_r,0.9567417693168995,|r|=0.957 ≥ 0.95
MIMIC_SURV_B,LAB_Lactate_min ↔ LAB_pH_min,collinearity,pearson_r,0.9999999957842196,|r|=1.000 ≥ 0.95
MIMIC_SURV_B,LAB_Alb_max ↔ LAB_Bili_max,collinearity,pearson_r,0.999999899637652,|r|=1.000 ≥ 0.95
MIMIC_SURV_B,LAB_Alb_min ↔ LAB_Bili_min,collinearity,pearson_r,0.9999998509269996,|r|=1.000 ≥ 0.95
MIMIC_SURV_B,LAB_PaCO2_max ↔ LAB_PaO2_max,collinearity,pearson_r,0.999990563936466,|r|=1.000 ≥ 0.95
MIMIC_SURV_B,LAB_PaCO2_min ↔ LAB_PaO2_min,collinearity,pearson_r,0.999986748894689,|r|=1.000 ≥ 0.95
MIMIC_SURV_B,LAB_PaCO2_mean ↔ LAB_PaO2_mean,collinearity,pearson_r,0.9999805872905374,|r|=1.000 ≥ 0.95
MIMIC_SURV_B,VITAL_RR_max ↔ VITAL_RR_mean,collinearity,pearson_r,0.9976741203860564,|r|=0.998 ≥ 0.95
MIMIC_SURV_B,VITAL_MAP_max ↔ VITAL_MAP_mean,collinearity,pearson_r,0.9947774253715492,|r|=0.995 ≥ 0.95
MIMIC_SURV_B,VITAL_SpO2_max ↔ VITAL_SpO2_mean,collinearity,pearson_r,0.985501702804099,|r|=0.986 ≥ 0.95
MIMIC_SURV_B,LAB_Alb_mean ↔ LAB_Bili_mean,collinearity,pearson_r,0.9761864599487519,|r|=0.976 ≥ 0.95
MIMIC_SURV_B,LAB_Alb_min ↔ LAB_Bili_mean,collinearity,pearson_r,0.9701399594699625,|r|=0.970 ≥ 0.95
MIMIC_SURV_B,VITAL_SBP_max ↔ VITAL_SBP_mean,collinearity,pearson_r,0.9634244241523297,|r|=0.963 ≥ 0.95
