Dataset,N,Features,Event rate,Num Events,Bins,Domain,Regime,Type,Cite,Authors
SUPPORT2,8873,14,0.680265975431083,1,30,Critical care,large,SR,\cite{knaus1995support},Knaus et al. (1995)
METABRIC,1904,9,0.5793067226890757,1,100,Oncology (breast),medium,SR,\cite{curtis2012genomic},Curtis et al. (2012)
GBSG,2232,7,0.567652329749104,1,100,Oncology (breast),medium,SR,\cite{schumacher1994randomized},Schumacher et al. (1994)
WHAS500,500,22,0.43,1,20,Cardiology,medium,SR,\cite{hosmer2008applied},Hosmer et al. (2008)
VETERANS,137,11,0.9343065693430657,1,20,Oncology (lung),small,SR,\cite{prentice1973exponential},Prentice (1973)
FLCHAIN,6524,43,0.30073574494175354,1,100,Haematology,large,SR,\cite{dispenzieri2012use},Dispenzieri et al. (2012)
SEER,4024,23,0.15308151093439365,1,30,Oncology (breast),medium,SR,\cite{nci2023seer},NCI SEER (2023)
ORMONI_TIRODEI_CV,8065,68,0.2984500929944203,1,100,Cardiovascular,large,SR,,
ORMONI_TIRODEI_MI,8065,68,0.32473651580905144,1,100,Cardiovascular,large,SR,,
ORMONI_TIRODEI_STROKE,8065,68,0.3077495350278983,1,100,Neurovascular,large,SR,,
ORMONI_TIRODEI_MORTALITY,8065,68,0.2984500929944203,1,100,All-cause mortality,large,SR,,
EICU_SURV,148319,124,0.058239335486350366,1,100,Critical care,large,SR,\cite{pollard2018eicu},Pollard et al. (2018)
MIMIC_SURV_B,65047,142,0.10447830030593264,1,100,Critical care,large,SR,\cite{johnson2023mimiciv},Johnson et al. (2023)
SS_CANCER,169,31,0.7218934911242604,1,20,Oncology (lung),small,SR,\cite{loprinzi1994prospective},Loprinzi et al. (1994)
SS_BREAST,100,8,0.26,1,10,Oncology (breast),small,SR,\cite{schumacher1994randomized},Schumacher et al. (1994)
SS_GBSG2,686,12,0.4358600583090379,1,50,Oncology (breast),medium,SR,\cite{sauerbrei1999modelling},Sauerbrei et al. (1999)
SS_ROTT2,2982,18,0.42655935613682094,1,100,Oncology (breast),medium,SR,\cite{royston2013external},Royston \& Altman (2013)
SS_COLON,911,19,0.4840834248079034,1,50,Oncology (colon),medium,SR,\cite{moertel1990levamisole},Moertel et al. (1990)
SS_PROSTATE,467,31,0.702355460385439,1,20,Oncology (prostate),small,SR,\cite{andrews1985data},Andrews \& Herzberg (1985)
