Dataset,N,Features,Event rate,Num Events,Bins,Domain,Regime,Type
SUPPORT2,8873,14,0.680265975431083,1,30,ICU mortality,large,SR
METABRIC,1904,9,0.5793067226890757,1,100,Oncology,medium,SR
GBSG,2232,7,0.567652329749104,1,100,Oncology,medium,SR
WHAS500,500,22,0.43,1,20,Cardiovascular,small,SR
VETERANS,137,11,0.9343065693430657,1,20,Oncology (lung),small,SR
FLCHAIN,6524,43,0.30073574494175354,1,100,Haematology,large,SR
SEER,4024,23,0.15308151093439365,1,30,Oncology (registry),medium,SR
ORMONI_TIRODEI_CV,8065,68,0.2984500929944203,1,100,Cardiovascular,large,SR
ORMONI_TIRODEI_MI,8065,68,0.32473651580905144,1,100,Cardiovascular (MI),large,SR
ORMONI_TIRODEI_STROKE,8065,68,0.3077495350278983,1,100,Cardiovascular (Stroke),large,SR
ORMONI_TIRODEI_MORTALITY,8065,68,0.2984500929944203,1,100,Mortality,large,SR
EICU_SURV,148319,124,0.058239335486350366,1,100,ICU mortality (eICU),large,SR
MIMIC_SURV_B,65047,142,0.10447830030593264,1,100,ICU mortality (MIMIC-IV),large,SR
SS_CANCER,169,31,0.7218934911242604,1,20,Medicine,small,SR
SS_BREAST,100,8,0.26,1,10,Medicine,small,SR
SS_GBSG2,686,12,0.4358600583090379,1,50,Medicine,small,SR
SS_ROTT2,2982,18,0.42655935613682094,1,100,Medicine,medium,SR
SS_COLON,911,19,0.4840834248079034,1,50,Medicine,small,SR
SS_PROSTATE,467,31,0.702355460385439,1,20,Medicine,small,SR
SS_OVARIAN,26,7,0.46153846153846156,1,10,Medicine,small,SR
SS_MELANOMA,205,7,0.2780487804878049,1,10,Medicine,small,SR
SS_E1684,284,5,0.6901408450704225,1,30,Medicine,small,SR
SS_PBC,312,11,0.40064102564102566,1,20,Medicine,small,SR
SS_HEPATOCELLULAR,101,56,0.44554455445544555,1,10,Medicine,small,SR
SS_NWTCO,4028,14,0.14175769612711023,1,50,Medicine,medium,SR
SS_RETINOPATHY,394,16,0.3934010152284264,1,20,Medicine,small,SR
SS_HEART,69,6,0.6521739130434783,1,10,Medicine,small,SR
SS_VETERAN,137,11,0.9343065693430657,1,20,Medicine,small,SR
SS_WHAS500,461,26,0.38177874186550975,1,20,Medicine,small,SR
SS_MGUS,46,14,0.9782608695652174,1,10,Medicine,small,SR
SS_CGD,128,30,0.34375,1,10,Medicine,small,SR
SS_COST,518,23,0.7799227799227799,1,50,Medicine,small,SR
SS_LEUKSURV,1043,31,0.8427612655800575,1,30,Medicine,medium,SR
SS_DIALYSIS,6805,74,0.2355620867009552,1,10,Medicine,large,SR
SS_ACTG,1151,24,0.08340573414422242,1,10,Medicine,medium,SR
SS_RHC,634,104,0.4242902208201893,1,30,Medicine,small,SR
SS_VLBW,257,56,0.14007782101167315,1,10,Medicine,small,SR
SS_GRACE,1000,7,0.324,1,10,Medicine,medium,SR
SS_TRACE,1878,10,0.5101171458998935,1,100,Medicine,medium,SR
SS_SUPPORT2,530,76,0.5283018867924528,1,30,Medicine,small,SR
SS_DLBCL,240,7399,0.575,1,20,Medicine,small,SR
SS_DIABETES,394,7,0.3934010152284264,1,30,Medicine,small,SR
SS_FLCHAIN,6521,36,0.3004140469253182,1,100,Medicine,large,SR
SS_FRAMINGHAM,4658,19,0.3145126663804208,1,100,Medicine,medium,SR
FRAMINGHAM,4273,18,0.41727123800608473,2,100,Cardiovascular (CR),small (CR),CR
PBC2,1945,16,0.44832904884318764,2,50,Hepatology (CR),small (CR),CR
SUPPORT_CR,9105,37,0.6810543657331136,2,30,ICU mortality (CR),large (CR),CR
SYNTHETIC_CR,30000,12,0.5,2,10,Synthetic (CR),large (CR),CR
